No.,Item_Name,Food_Category,Serving_Size,Calories,Total_Fat,Saturated_Fat,Trans_Fat,Cholesterol,Sodium,Carbohydrates,Protein,Sugar,Dietary_Fiber
1,Harvest Chicken Salad Sandwich,Sandwiches,297,620,26,4,0,60,730,66,34,15,11
2,Albacore Tuna Salad on Multigrain,Sandwiches,290,590,28,4,0,35,740,59,31,10,10
3,Harvest Chicken Salad on Multigrain,Sandwiches,297,590,25,3.5,0,55,820,64,33,15,11
6,"#12 Cancro Special, Flour Tortilla Wrap",Sandwiches,458,770,31,13,1,135,990,61,63,6,7
7,"#12 The Cancro Special, Wheat Regular",Sandwiches,469,775,26,10.5,1,135,1000,71,65,10,7
11,#6 Famous Roast Beef & Provolone on Flour Tortilla Wrap,Sandwiches,412,720,29.5,12.5,0,120,1045,60,55,6,6
13,"#12 Cancro Special, Wheat Wrap",Sandwiches,458,760,31,13,1,135,1060,59,62,5,8
17,"#6 Roast Beef & Provolone, Wheat Wrap",Sandwiches,417,740,30.5,13,0,125,1130,58,57,5,7
23,#6 Famous Roast Beef & Provolone on Tomato Wrap,Sandwiches,412,720,29.5,13,0,120,1195,59,55,11,4
28,"#6 Famous Roast Beef & Provolone, Spinach Wrap",Sandwiches,417,745,30.5,13.5,0,125,1230,60,57,8,4
29,#12 Cancro Special on Flour Tortilla Wrap,Sandwiches,423,770,33.5,14,0,135,1230,60,58,6,6
38,Grilled Chicken Sub on Flour Tortilla Wrap,Sandwiches,380,740,38,7.5,0,100,1300,61,40,7,5
45,#7 Omelet w/ Bacon on Flour Tortilla Wrap,Sandwiches,274,710,38.5,16.5,0,480,1335,54,37,1,5
48,"Cranberry Pecan Chicken Salad, Regular, 2pm Close",Salads,351,610,31,8,1,75,1340,52,33,19,7
58,Grilled Chicken Sub on Wheat Wrap,Sandwiches,380,730,38,7.5,0,100,1370,59,40,6,6
59,Sweet & Spicy Bacon Burger Jr Whatameal w/ Lower Calorie Sides,Burgers,859,640,33,13,1,80,1370,51,32,16,3
64,Grilled Veggie Wrap on Spinach Wrap,Sandwiches,452,810,46,21,0.5,85,1385,66,33,11,5
71,All Natural Budweiser Beer Cheese Bacon Burger Single,Burgers,327,710,38,16,1,85,1430,51,40,11,3
83,Double Meat Whataburger,Burgers,400,830,44,14,2,90,1470,62,47,12,4
87,Chicken & Double Smoked Bacon,Sandwiches,201,620,26,8,0,110,1480,65,31,12,3
89,#7 Omelet w/ Bacon on Tomato Wrap,Sandwiches,274,710,38.5,17,0,480,1485,53,37,6,3
92,Chicken Caesar Wrap on Flour Tortilla Wrap,Sandwiches,359,650,28,6,0,90,1490,58,43,5,6
99,#10 Tuna Fish on Wheat Wrap,Sandwiches,418,720,49,8.5,0,85,1505,62,32,5,7
100,"Whataburger Patty Melt, Single Whatameal",Burgers,1262,1470,58,14,1,70,1510,209,33,118,5
104,#6 Omelet w/ Ham on Tomato Wrap,Sandwiches,288,620,29,13,0,475,1515,54,36,6,3
106,Whataburger Whatameal,Burgers,1110,1310,46,10,1,45,1520,196,34,94,8
113,BBQ Bacon Whopper Sandwich,Burgers,303,800,51,17,2,125,1540,53,35,14,2
116,Sweet & Spicy Bacon Burger Jr Whatameal,Burgers,861,1140,47,15,1,80,1550,146,35,81,4
119,"Turkey, Bacon & Avocado, License Locations Only",Sandwiches,316,640,32,6,0,80,1580,57,35,11,9
125,Chicken Fajita Taco Whatameal,Sandwiches,1220,1170,34,6,0,90,1590,193,33,114,7
128,Turkey Pesto,Sandwiches,337,710,37,14,0,90,1600,56,40,2,3
129,Green Chile Double Jr Whatameal,Burgers,996,1260,51,14,1,70,1600,171,33,89,6
141,"Turkey, Bacon & Avocado",Sandwiches,318,660,30,5,0,60,1630,64,34,9,4
146,1/3 lb Cheeseburger,Burgers,244,640,33,12,2,100,1640,56,33,14,2
148,Grilled Chicken Melt Whatameal,Sandwiches,1258,1220,32,6,0,95,1640,203,38,119,7
153,Western Bacon Cheeseburger,Burgers,250,750,35,14,1,80,1650,75,36,16,4
168,Homestyle Ranch Chicken Club,Sandwiches,266.26,632,28,8,0,72,1687,62,34,12,4
170,Chop House Cheddar Burger Jr Whatameal w/ Lower Calorie Sides,Burgers,1376,1130,68,26,2,155,1690,71,61,17,4
173,Grilled Chicken Melt Whatameal,Sandwiches,1001,1110,33,7,0,105,1700,172,37,89,7
176,#15 Meatball & Cheese on Flour Tortilla Wrap,Sandwiches,314,830,47.5,20,0,90,1710,65,36,5,8
180,Triple Meat Whataburger,Burgers,484,1080,63,21,3,130,1720,62,65,12,4
181,"The Grilled Burrito, Beef",Sandwiches,487,850,35,15,0.5,95,1720,90,41,7,8
182,Triple Meat Whataburger,Burgers,484,1080,63,21,3,130,1720,62,65,12,4
201,#14 Veggie on Wheat Giant,Sandwiches,719,1310,57,36,2,160,1790,135,66,17,9
204,All Natural Budweiser Beer Cheese Bacon Burger Double,Burgers,403,940,55,24,2,155,1800,52,60,12,3
205,All Natural Budweiser Beer Cheese Bacon Burger Double,Burgers,403,940,55,24,,155,1800,52,60,12,3
208,Jalapeno & Cheese Whataburger,Burgers,352,680,32,12,1,65,1800,63,34,12,4
214,1/3 lb Budweiser Beer Cheese Bacon Thickburger,Burgers,358,790,46,2046,,115,1820,51,43,12,2
218,Jalapeno & Cheese Whataburger Whatameal w/ Lower Calorie Sides,Burgers,1357,720,32,12,1,65,1830,73,34,17,5
220,"Meatball Pizza, 8 in",Pizza,344,860,33,14,1,80,1840,100,37,7,5
222,#14 Veggie on White Giant,Sandwiches,719,1310,56.5,36,2,160,1850,133,65,16,5
223,California Club on White Regular,Sandwiches,470,700,26.5,11,0,75,1850,70,44,7,7
230,Homestyle Ranch Chicken Club,Sandwiches,267,710,33,8,0,80,1880,66,40,12,4
231,"Epic Scrambler, Carne Asada Steak",Sandwiches,459,960,54,20,0,595,1890,73,39,6,3
234,"Taco Salad, Ground Beef",Salads,569,890,56,18,1,90,1890,62,35,9,11
235,#9 Club Supreme on White Regular,Sandwiches,478,930,48,14,0,145,1895,68,56,7,3
237,#8 Omelet w/ Ham & Bacon on Tomato Wrap,Sandwiches,309,740,39.5,17.5,0,500,1905,54,42,6,3
240,"#15 Meatball & Cheese, Flour Tortilla Wrap",Sandwiches,366,855,46.5,20,0,90,1920,73,37,11,9
241,"Taco Salad, Beef",Salads,506,920,56,17,5,70,1920,72,35,5,8
244,Roast Turkey & Swiss Sandwich,Sandwiches,326,710,28,7,0,65,1930,79,38,15,5
246,"Taco Salad, Beef",Salads,506,930,56,17,,65,1930,73,35,7,9
248,Roast Turkey & Swiss Sandwich,Sandwiches,326,710,28,7,0,65,1930,79,38,15,5
249,"California Cheesesteak, Wheat Regular",Sandwiches,477,875,47,15,0,130,1935,71,42,10,4
255,Turkey Club Mex Wrap,Sandwiches,350,720,40,11,0,80,1950,57,36,4,8
